大会,予選,問題番号,問題,正解,補足
1,関東関西,1,後楽園球場と大阪球場の出場者の合計と標準米１ℓの米粒の数を比べると、米粒の方が多い。,○,
1,関東関西,2,全国の高校生が両手を広げて手をつなぎ、一直線に並ぶと、東京からサンフランシスコまで届く。,×,
1,関東関西,3,映画デビューの日を誕生日としているミッキーマウスは、日本の十二支でちょうど「ネズミ」年生まれである。,×,
1,関東関西,4,戦時中この後楽園球場のグラウンドはジャガイモ畑だったことがある。,○,
1,関東関西,5,夜空に輝く星座の中には、望遠鏡座はあるが顕微鏡座はない。,×,
1,関東関西,6,インゲン豆を日本に伝えたのは、隠元和尚ですが、ニンジンを伝えたのも、人参禅師というお坊さんである。,×,
1,関東関西,7,赤穂四十七士のうち「大石」という名字は3人いる。,○,
1,関東関西,8,ローマ神話のキューピットは男の神様である。,○,
1,関東関西,9,黄身が２つ入っているニワトリの卵からはもちろん双子のヒヨコがかえる。,×,
1,関東関西,10,百獣の王ライオンのオスを去勢するとたてがみがなくなる。,○,
1,関東関西,11,操縦室を意味するコックピット。もともとニワトリを闘わせる闘鶏場のことである。,○,
1,関東関西,12,マッチを発明したのはジェームス・マッチさんという人である。,×,
1,関東関西,13,「ガニ股」とはカニの股の形から生まれた言葉である。,○,
1,関東関西,14,アラビア数字を発明したのはアラビア人である。,×,
1,関東関西,15,乳ガンになるのは女だけである。,×,
1,関東関西,16,月面では昼間でも星が一面に光ってみえる。,○,
1,関東関西,17,お釈迦様は生涯独身だった。,×,
1,関東関西,18,NHKでもプロレス中継をやっていた。,○,
1,関東関西,19,明治時代アメリカ輸入した自動車は馬にとってかわる乗り物として「馬いらず」と呼ばれた。,×,
1,関東関西,20,尺取虫は成長すると尺取蛾になる。,○,
1,関東関西,21,戦国時代、金釘流という武術が本当にあった。,×,
1,関東関西,22,国宝は個人が所有してもよい。,○,
1,関東関西,23,大阪城と江戸城では、大阪城のほうが早く建てられた。,×,
1,関東関西,24,中華料理に欠かせないキクラゲは、コンブ、海藻の一種である。,×,
1,関東関西,25,女という漢字が体をなよなよさせている様子を表した象形文字からできたものである。,○,
1,関東関西,26,丸く花が開く打ち上げ花火は日本でしかつくっていない。,×,
1,関東関西,27,郵便ポストの色は世界共通で赤色になっている。,×,
1,関東関西,28,月食が起こっているとき、月面では日食が起こっている。,○,
1,関東関西,29,ニンニクはネギ科の植物である。,×,
1,関東関西,30,国鉄運賃大人310円の場合子供は160円である。,×,
1,関東関西,31,「なめくじ」は貝の一種である。,○,
1,関東関西,32,満月の明るさは、半月の明るさのちょうど2倍である。,×,
1,関東関西,33,フグは水の外ではふくれない。,×,
1,関東関西,34,ビデオテープをすかしてみると8ミリフィルムのように1コマ1コマうつっている。,×,
1,関東関西,35,東京六大学野球がはじまって以来、東大は一度も優勝したことがない。,○,
1,関東関西,36,日本にいるツバメは秋になると、シベリアにかえる。,×,
1,山陽四国,1,ここ四国とアメリカのハワイ州の総面積を比べると、四国の方が広い。,○,
1,山陽四国,2,夏目漱石は愛媛県の松山中学に教師として赴任したが、小説「坊っちゃん」はそこで書き上げられた。,×,
1,山陽四国,3,プロ野球のドラフト制度は中学生でも指名できる。,○,
1,山陽四国,5,ことわざの「一姫二太郎」とは、1人の女の子と2人の男の子を産むことである。,×,
1,山陽四国,6,現在、日本で使われている硬貨には、全て「日本国」と書いてありますが、紙幣に「日本国」と書いてあるものはひとつもない。,○,
1,山陽四国,7,桜のつぼみは開花日が近づくにつれて重くなる。,○,
1,山陽四国,8,四国には国立公園がひとつしかない。,×,
1,山陽四国,9,大みそかに欠かせない年越しソバ。花の色は、ソバと同じ黒っぽい色をしている。,×,
1,山陽四国,10,一昼夜をさす言葉を「四六時中」といいます。江戸時代にはこれを「二六時中」といった。,○,
1,山陽四国,11,牛乳と大根、100gあたりの水分を比べると、大根の方が多い。,○,
1,山陽四国,12,気象用語では、ヒョウとアラレはその大きさで区別するが、俳句の季語では、夏に降るものをヒョウ、冬に降るものをアラレという。,○,
1,山陽四国,13,昭和58年、振り替え休日は1日もない。,○,
1,山陽四国,14,手紙の封筒の裏側全面に文章を書いても違反にならない。,○,
1,山陽四国,15,「にぼし」はその名のとおり、一度似た魚を干してつくる。,○,
1,山陽四国,16,人間の骨には血管は通っていない。,×,
1,山陽四国,17,窒素は発見された当時「毒のある空気」と呼ばれていた。,○,
1,山陽四国,18,陸上競技のハードル。400mでも110mでもハードルの数は同じである。,○,
1,北陸,1,歴代の総理大臣の中で最も若くして総理の座に就いたのは初代の伊藤博文である。,○,
1,北陸,2,昭和のはじめ、新潟県出身の関脇に「コシヒカリ」という人がいた。,×,
1,北陸,3,国鉄のＡ寝台車を表わす記号は、カタカナで「ネ」と「ロ」つまり「ネロ」である。,×,
1,北陸,4,新潟県が生んだ国民的歌手三波春夫とライバルの村田英雄。昨年の長者番付で年収が多かったのは三波春夫のほうである。,×,
1,北陸,5,雨の日に着るカッパは、もともとポルトガル語である。,○,
1,北陸,6,「宇宙戦艦ヤマト」がイスカンダルから放射線除去装置を持ち帰ったのは西暦2200年である。,○,
1,中部,1,ここ尾張の生まれで書道の三蹟の一人小野道風は小野妹子の子孫である。,○,
1,中部,2,日本の民間ラジオのはじめての放送はここ名古屋からでした。さて、その第1日目にクイズ番組があった。,○,
1,中部,3,船の出航時刻は、ドラが鳴った時である。,×,
1,中部,4,1930年、誕生した世界初のスチュワーデスは全員看護婦だった。,○,
1,中部,5,松田聖子と山口百恵、ＬＰ、シングルあわせて、レコードの売り上げ枚数が多いのは、山口百恵である。,×,
1,中部,6,レーガン大統領を護衛しているシークレットサービスはＦＢＩの所属である。,×,
1,中部,7,豊臣秀吉、織田信長、徳川家康、この3人はいずれも現在の愛知県出身である。,○,
1,中部,8,ノーベル賞の授賞式はすべてオスロで行われる。,×,
1,中部,9,アメリカのアカデミー賞の最多受賞者はウォルト・ディズニーである。,○,
1,中部,10,日本には、国鉄が県庁所在地を通っていない県がある。,○,
1,中部,11,日本にいるツバメは、秋になるとシベリアに帰る。,×,
1,中部,12,歌舞伎に女形（おやま）がいるように、バレエにも初期の頃は女の役を男がやっていた。,○,
1,中部,13,アメリカから日本に手紙を出す時は、日本発行の切手でもよい。,×,
1,中部,14,ロダンのお墓の前には「考える人」の像がある。,○,
1,中部,15,トルコ石が最もよく採れる国はトルコである。,×,
1,中部,16,現在のニューヨークは18世紀にはニューロンドンと呼ばれていた。,×,
1,中部,17,サンフランシスコのゴールデンゲイト・ブリッジは、かつて金色に塗られたことからこう呼ばれるようになった。,×,
1,中部,18,国連児童救済基金のことをユネスコという。,×,
1,中部,19,「清水の舞台から飛び降りる」とよくいわれる清水寺。この”清水の舞台”では実際に能や狂言が行われたことがある。,○,
1,中部,20,哺乳類の中でオッパイを飲ませて子供を育てるオスもいる。,×,
1,中部,21,高校野球甲子園大会に出場する選手が締めるベルトは黒と決まっている。,○,
1,東北,1,君たちの夢をのせて高々と上がっているあのアドバルーンの高さは100m以上ある。,×,
